Plate-Well ID,Start date,Treatment ID,LW,LD,LT,PW,PD,PT,ATW,AD,AT,Sex,Dead?,,,,,,,,,,,,
7-B4,7/9/2017,ss,0.1083,7/21/2017,12,0.0749,8/7/2017,29,3.93,8/14/2017,36,f,,,,,,,,,,,,,
7-C4,7/9/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
8-A1,7/18/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
8-B1,7/18/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
8-C1,7/18/2017,ss,0.0925,7/31/2017,13,,,,,,,,y,,,,,,,,,,,,
8-A2,7/18/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
8-B2,7/18/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
8-C2,7/18/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
8-A3,7/18/2017,gg,0.248,7/26/2017,8,0.1515,8/7/2017,20,5.08,8/14/2017,27,m,,,,,,,,,,,,,
8-B3,7/18/2017,gg,0.1941,7/24/2017,6,,8/7/2017,20,,,,,y,,,,,,,,,,,,
8-C3,7/18/2017,gg,0.2208,7/26/2017,8,0.1633,8/9/2017,22,5.39,8/17/2017,30,f,,,,,,,,,,,,,
8-A4,7/18/2017,gs,,,,,,,,,,,y,,,,,,,,,,,,
8-B4,7/18/2017,gs,,,,,,,,,,,y,,,,,,,,,,,,
8-C4,7/18/2017,gs,0.2041,7/26/2017,8,0.1529,8/11/2017,24,5.36,8/18/2017,31,m,,,,,,,,,,,,,
9-A1,7/18/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
9-B1,7/18/2017,sg,0.0909,7/31/2017,13,,,,,,,,y,,,,,,,,,,,,
9-C1,7/18/2017,gs,0.1921,7/26/2017,8,0.0793,8/9/2017,22,,,,m,y,,,,,,,,,,,,
9-A2,7/18/2017,gs,0.1728,7/26/2017,8,0.0934,8/14/2017,27,4.75,8/21/2017,34,f,,,,,,,,,,,,,
9-B2,7/18/2017,gs,0.199,7/26/2017,8,0.1526,8/11/2017,24,,,,m,y,,,,,,,,,,,,
9-C2,7/18/2017,sg,,,,,,,,,,,y,,,,,,,,,,,,
9-A3,7/18/2017,gg,0.1246,7/28/2017,10,,,,,,,,y,,,,,,,,,,,,
9-B3,7/18/2017,gg,0.1967,7/24/2017,6,0.1853,8/7/2017,20,5.37,8/14/2017,27,f,,,,,,,,,,,,,
9-C3,7/18/2017,gg,0.1833,7/24/2017,6,0.1881,8/7/2017,20,5.78,8/17/2017,30,m,,,,,,,,,,,,,
9-A4,7/18/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
9-B4,7/18/2017,ss,,,,,,,,,,,y,,,,,,,,,,,,
9-C4,7/18/2017,ss,0.062,7/28/2017,10,,8/17/2017,30,,,,,y,,,,,,,,,,,,
